"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.473175500E0,1.557139475E-1,-4.311254427E0,2.610623329E0
7.493157500E0,4.865792299E-1,-3.861300950E0,1.391745499E0
7.513139500E0,3.233280387E-1,-2.831272105E0,2.263620901E-1
7.533121500E0,1.964544226E-1,-1.771216346E0,-7.936472583E-1
7.553104500E0,4.679709047E-1,-7.286727056E-1,-1.485254171E0
7.573086500E0,8.768877087E-1,2.531885308E-1,-1.665812683E0
7.593068500E0,1.234571173E0,4.916353539E-1,-1.164103453E0
7.613050500E0,1.459253211E0,3.825666556E-1,-5.994968945E-1
7.633032500E0,1.117599670E0,9.847208172E-2,-6.890282911E-1
7.653014500E0,3.855417189E-1,-1.544919160E-1,-1.504704934E0
7.672997500E0,7.890442022E-2,-2.565343076E-1,-2.367402547E0
7.692979500E0,-2.486120247E-1,-2.512291288E-1,-2.783586892E0
7.712961500E0,-6.893009175E-1,-2.851026338E-1,-3.181392853E0
7.732943542E0,-6.720707810E-1,-3.141416609E-2,-3.416999976E0
7.752925542E0,-3.485695551E-1,3.024688643E-1,-3.084681076E0
7.772907542E0,1.560329680E-1,7.112073648E-1,-2.396528698E0
